

=== TABLE: 2024 ===
الاجمالي,الرصيد,الايراد,المصروف,التاريخ,ملاحظات,ID
57586,-30,,30,"01/10/24 00:00:00","لزق طبي",44
57421,-165,,165,"01/10/24 00:00:00","بالطوهات",45
58716,1295,1295,,"01/11/24 00:00:00","طنطا",46
58456,-260,,260,"01/13/24 00:00:00","اضافي د سما حتي يصل مرتب الشفت 250",47
68776,10320,10320,,"01/13/24 00:00:00","طنطا",48
68631,-25,,25,"01/13/24 00:00:00","شاي اخضر",50
68431,-200,,200,"01/14/24 00:00:00","ميادة",51
94826,-1050,,1050,"01/14/24 00:00:00"," بكرة تعقيم 1*1050",53
94766,-60,,60,"01/14/24 00:00:00","اوفو360",54
94766,0,600,600,"01/14/24 00:00:00","ام محمود/تم السداد22-12",55
93536,2470,2470,,"01/15/24 00:00:00","طنطا",57
93356,-180,,180,"01/15/24 00:00:00","اوفو540",58
120216,26860,26860,,"01/16/24 00:00:00","طنطا",59
118966,-1250,,1250,"01/17/24 00:00:00","صيانة الاوتو ريف",60
118866,-100,,100,"01/17/24 00:00:00","كروكس 100 طه",61
118766,-100,,100,"01/17/24 00:00:00","جولد اي 300",62
127006,8240,8240,,"01/17/24 00:00:00","طنطا",63
130331,-300,,300,"01/20/24 00:00:00","كروكسات للتمريض",66
129831,-500,,500,"01/20/24 00:00:00","كهربا",67
129721,-110,,110,"01/20/24 00:00:00","فاتورة مياه",68
153481,23815,23815,,"01/21/24 00:00:00","طنطا",70
153381,-100,,100,"01/21/24 00:00:00","اضافي د عمر حتي يصل الشفت200",71
152901,-480,,480,"01/21/24 00:00:00","محلول 12*40",72
151331,-1570,,1570,"01/21/24 00:00:00","جاونات50*17+جوانتي4*180",73
153421,2090,2090,,"01/23/24 00:00:00","طنطا",75
153381,-40,,40,"01/23/24 00:00:00","سكر ك*40",76
169081,15700,15700,,"01/23/24 00:00:00","طنطا",77
183636,14555,14555,,"01/24/24 00:00:00","طنطا",78
183136,-500,,500,"01/24/24 00:00:00","ابو يوسف الدكتورة",79
172771,-10000,,10000,"01/25/24 00:00:00","د السعدني / مصطفي",81
173966,-400,,400,"01/27/24 00:00:00","جاد مقصين",83
179961,5995,6200,205,"01/27/24 00:00:00","نت الشروق داليا",84
179796,-165,,165,"01/27/24 00:00:00","بالطوهات",85
179756,-40,,40,"01/27/24 00:00:00","مواصلات الصواف مرتين",86
232556,52800,53120,320,"01/28/24 00:00:00","تعاقد الشروق",87
234126,-110,,110,"01/30/24 00:00:00","شاي بطرس+ الشروق",89
228626,-5500,,5500,"01/30/24 00:00:00","كارتلة 1000*4.5+50بكر اوتوريف *20",90
248396,19770,19770,,"01/30/24 00:00:00","طنطا",91
248296,-100,,100,"01/30/24 00:00:00","عدد 2 ك سكر*50",92
279586,-120,,120,"01/31/24 00:00:00","شعاع240",95
280426,840,840,,"01/31/24 00:00:00","تسوية شعاع شهر 1",96
215002,-65424,,65424,"02/01/24 00:00:00","من تحت حساب المرتبات",97
214982,-20,,20,"02/01/24 00:00:00","دانش د السعدني",98
192578,-20404,,20404,"02/01/24 00:00:00","حساب العيادة شهر 1",100
168378,-24200,,24200,"02/01/24 00:00:00","ايجار بطرس",101
167678,-700,,700,"02/01/24 00:00:00","7 علب جوانتيات",102
166678,-1000,,1000,"02/01/24 00:00:00","عم سعيد البواب",103
167678,1000,1020,20,"02/01/24 00:00:00","مفك",104
167378,-300,,300,"02/03/24 00:00:00","اضافي هدير",105
172853,5475,5475,,"02/03/24 00:00:00","عصام",106
171496,-937,,937,"02/03/24 00:00:00","قطرات 50*18.74اوركابريد",108
165306,-1200,,1200,"02/04/24 00:00:00","بوكس عدسات د اعتدال",110
147806,-17500,,17500,"02/05/24 00:00:00","ايجار الشروق",111
147481,-325,,325,"02/05/24 00:00:00","فودافون+د السعدني",112
147271,-210,,210,"02/05/24 00:00:00","اورانج",113
191071,43800,43920,120,"02/05/24 00:00:00","اوفو120",114
190991,-80,,80,"02/05/24 00:00:00","بطاريات للعيادة الشروق",115
187941,-3050,,3050,"02/05/24 00:00:00","د السعدني فيزا cib 15000-9230-2720",116
186441,-1500,,1500,"02/05/24 00:00:00","البنات د السعدني",117
192981,9290,9290,,"02/05/24 00:00:00","طنطا",119
209846,16865,16865,,"02/06/24 00:00:00","طنطا",120
208846,-1000,,1000,"02/06/24 00:00:00"," كهربا",121
208746,-100,,100,"02/06/24 00:00:00","سكر",122
241311,-60,,60,"02/07/24 00:00:00","شعاع180",124
240196,-1115,,1115,"02/08/24 00:00:00","سلفة مرسال تم تسويتها14-3",125
241601,1405,1405,,"02/08/24 00:00:00","طنطا",126
211675,-29926,,29926,"02/10/24 00:00:00","النسبة",127
218665,6990,6990,,"02/10/24 00:00:00","طنطا",128
217907,-758,,758,"02/10/24 00:00:00","اضافي صافي 85 ساعة",129
35811,-182000,,182000,"02/10/24 00:00:00","مصطفى السعدني 2800$*65",131
34701,-1110,,1110,"02/11/24 00:00:00","ورق طباعة6*185",132
69171,34470,34540,70,"02/11/24 00:00:00","مرسال فيمتو",133
69001,-170,,170,"02/11/24 00:00:00","سباك",134
76726,7875,7935,60,"02/12/24 00:00:00","اوفو180",136
84606,7880,7880,,"02/13/24 00:00:00","طنطا",137
117766,33160,33230,70,"02/14/24 00:00:00","محمود الفيمتو",138
116966,-800,,800,"02/14/24 00:00:00","نمير شهر1 -8 عمليات",139
115641,-1325,,1325,"02/11/24 00:00:00","عدد 55 جاون*20+5 اوفر هيد*45",140
105391,-850,,850,"02/14/24 00:00:00"," تليفون بدون فاتورة محل ",142
105331,-60,,60,"02/14/24 00:00:00","اوفو240",143
103942,-1389,,1389,"02/14/24 00:00:00","ادوات مكتبية",144
99942,-4000,,4000,"02/15/24 00:00:00","د السعدني / سمير",145
99942,0,100,100,"02/15/24 00:00:00","صافي/تم السداد",146
100262,320,380,60,"02/15/24 00:00:00","اوفو300",147
100197,-65,,65,"02/15/24 00:00:00","شاي",148
98497,-60,,60,"02/17/24 00:00:00","اوفو 360",151
98332,-165,,165,"02/17/24 00:00:00","بالطوهات",152
87532,-10800,,10800,"02/17/24 00:00:00","ميناتورز د السعدني",153
87032,-500,,500,"02/18/24 00:00:00","ابو يوسف - الدكتورة",154
100422,13390,13390,,"02/18/24 00:00:00",,155
100269,-133,,133,"02/18/24 00:00:00","فاتورة مياه",157
100149,-120,,120,"02/18/24 00:00:00","سكر 2ك",158
100149,0,200,200,"02/18/24 00:00:00","صافي/تم السداد",159
94549,-5600,,5600,"02/19/24 00:00:00","باقي جاد شهر 1-2",160
84549,-10000,,10000,"02/19/24 00:00:00","فلوانس ",161
85224,-1000,,1000,"02/20/24 00:00:00","ا/بسنت - البنات",163
114519,29295,29355,60,"02/20/24 00:00:00","شعاع240",164
124439,9920,9980,60,"02/21/24 00:00:00","شعاع300",165
125607,1180,1300,120,"02/22/24 00:00:00","اوفو480",167
125547,-60,,60,"02/22/24 00:00:00","شعاع360",168
125427,-120,,120,"02/22/24 00:00:00","سكر 2 ك",169
121497,-3930,,3930,"02/22/24 00:00:00","جوانت معقم3*1050+اوفر هيد3*160+شوز6*50",170
121457,-20,,20,"02/24/24 00:00:00","باتيه د السعدني",172
127172,5715,5715,,"02/24/24 00:00:00","طنطا",173
127062,-110,,110,"02/24/24 00:00:00","شاي الشروق وبطرس",174
126592,-470,,470,"02/25/24 00:00:00","ابو يوسف",175
116592,-10000,,10000,"02/25/24 00:00:00","د السعدني نقدا",176
135287,18695,18755,60,"02/25/24 00:00:00","شعاع420",177
140877,5590,6730,1140,"02/26/24 00:00:00","جوانتي مقم مقاس 7.5",179
140757,-120,,120,"02/26/24 00:00:00","شعاع",180
140709,-36,,36,"02/27/24 00:00:00","اقلام سبورة3*12",182
140686,-23,,23,"02/27/24 00:00:00","بريل الشروق",183
142066,1380,1440,60,"02/27/24 00:00:00","شعاع480",184
142006,-60,,60,"02/27/24 00:00:00","اوفو540",185
151786,9780,9970,190,"02/28/24 00:00:00","نت الشروق",186
154206,2420,2510,90,"02/29/24 00:00:00","صيانة فلتر",187
154146,-60,,60,"02/29/24 00:00:00","اوفو600",188
154086,-60,,60,"02/29/24 00:00:00","شعاع540",189
155226,1140,1140,,"02/29/24 00:00:00","تسوية شعاع واوفو شهر 2",190
154226,-1000,,1000,"03/02/24 00:00:00","عم سعيد البواب",191
147226,13000,13000,,"03/02/24 00:00:00","د السعدني كفر الشيخ",193
128101,-19125,,19125,"03/02/24 00:00:00","بسنت البنات+فيزا البنك الأهلي+تجديد موقع الضرايب",194
95446,-17655,,17655,"03/02/24 00:00:00","تحت حساب العيادة",196
98221,2775,2775,,"03/02/24 00:00:00","طنطا",197
74021,-24200,,24200,"03/03/24 00:00:00","ايجار بطرس",198
93491,19470,19470,,"03/03/24 00:00:00","د محمد عبد الرحيم رسالة",199
93471,-20,,20,"03/03/24 00:00:00","عجز الوردية الاولى",200
93361,-110,,110,"03/03/24 00:00:00","علاج د السعدني",201
93251,-110,,110,"03/03/24 00:00:00","كهربا",202
99566,6315,6915,600,"03/04/24 00:00:00","اضافي الفنيين",203
81946,-17500,,17500,"03/05/24 00:00:00","ايجار الشروق",206
81536,-410,,410,"03/05/24 00:00:00","فودافون+د السعدني",207
81326,-210,,210,"03/05/24 00:00:00","اورانج",208
79826,-1500,,1500,"03/05/24 00:00:00","اكياس زبالة 25ك*60",209
102616,30090,30150,60,"03/05/24 00:00:00","شعاع120",211
102556,-60,,60,"03/05/24 00:00:00","سكر",212
102499,-57,,57,"03/05/24 00:00:00","معالق",213
102299,-200,,200,"03/05/24 00:00:00","كالون",214
102234,-65,,65,"03/05/24 00:00:00","شاي",215
37973,-64261,,64261,"03/05/24 00:00:00","باقي المرتبات",216
52663,14690,14750,60,"03/06/24 00:00:00","شعاع180",217
54391,-200,,200,"03/09/24 00:00:00","ابو يوسف شراء بسطرمة",220
59881,5490,5550,60,"03/09/24 00:00:00","اوفو180",221
30446,-29435,,29435,"03/10/24 00:00:00","النسبة",222
31446,1000,1000,,"03/10/24 00:00:00","فرق حالات كفر الشيخ",223
46186,14740,15140,400,"03/10/24 00:00:00","عدد20 دراع قماش لجهاز الليزر",224
45826,-120,,120,"03/10/24 00:00:00","سكر",226
45806,-20,,20,"03/10/24 00:00:00","باتيه د السعدني",227
45019,-786,,786,"03/11/24 00:00:00","اضافي صافي شهر 2",228
47189,2170,2170,,"03/11/24 00:00:00",,229
55574,6090,6090,,"03/13/24 00:00:00","طنطا",231
53899,-1725,,1725,"03/13/24 00:00:00","البنات1000ج/ دوا الصيدليه725ج",233
53249,-650,,650,"03/13/24 00:00:00","مناديل 2*325",234
52099,-1150,,1150,"03/14/24 00:00:00","سلفة محمود تم التسويه 28-4",235
55109,2400,2460,60,"03/16/24 00:00:00","شعاع300",237
46939,-8170,,8170,"03/16/24 00:00:00","مقدم الفطار+مواصلات لابوعمر",238
60404,13465,13465,,"03/17/24 00:00:00","طنطا",239
57079,-3325,,3325,"03/17/24 00:00:00","عدد 50 علبة لوبستيرا+موكسيسيارو",240
56900,-60,,60,"03/17/24 00:00:00","اوفو240",242
56640,-260,,260,"03/17/24 00:00:00","اطباق وشوك وكوبايات للفطار",243
57610,970,970,,"03/18/24 00:00:00","طنطا",244
74035,16425,17305,880,"03/19/24 00:00:00","عصاير مارتن",245
73435,-600,,600,"03/19/24 00:00:00","طرابيزات",246
73185,-250,,250,"03/19/24 00:00:00","اضافي د عمر الشفت بالنسبة 250",247
82065,-100,,100,"03/20/24 00:00:00","تصليح الكاتل",249
81825,-200,,200,"03/20/24 00:00:00","شاي +علب يوم الفطار",251
78825,-3000,,3000,"03/21/24 00:00:00","شهرية جاد",252
65825,-13000,,13000,"03/23/24 00:00:00","د السعدني البنك الاهلي",253
66945,1120,1180,60,"03/21/24 00:00:00","اوفو300",254
70990,-200,,200,"03/23/24 00:00:00","بالطوهات",256
70930,-60,,60,"03/23/24 00:00:00","سكر",257
75820,4890,4950,60,"03/24/24 00:00:00","شعاع360",258
74820,-1000,,1000,"03/25/24 00:00:00","البنات",259
75670,850,970,120,"03/25/24 00:00:00","شعاع480",260
89110,13440,13440,,"03/26/24 00:00:00","طنطا",261
96170,-2320,,2320,"03/28/24 00:00:00","قطرات مونودوكسين100*23.2",263
96830,660,840,180,"03/28/24 00:00:00","شعاع660",264
100990,4160,4660,500,"03/30/24 00:00:00","كهربا",265
58140,-42850,,42850,"03/31/24 00:00:00","ضرايب د السعدني",266
123655,56000,56000,,"04/01/24 00:00:00","د السعدني نقدا+كفر الشيخ+لستة2-4",268
58956,-64699,,64699,"04/01/24 00:00:00","المرتبات",269
45926,-1000,,1000,"04/01/24 00:00:00","عم سعيد البواب",271
49466,3540,3600,60,"04/01/24 00:00:00","اوفو60",272
77366,27900,27960,60,"04/02/24 00:00:00","اوفو120",273
77056,-310,,310,"04/02/24 00:00:00","شحن كهرباء",274
59286,-24200,,24200,"04/03/24 00:00:00","ايجار بطرس",276
53086,-6200,,6200,"04/03/24 00:00:00","من حساب فيزا cib",277
35586,-17500,,17500,"04/04/24 00:00:00","ايجار الشروق",278
34966,-210,,210,"04/04/24 00:00:00","اورانج",280
37177,2211,2271,60,"04/04/24 00:00:00","شعاع60",281
37117,-60,,60,"04/04/24 00:00:00","اوفو240",282
41077,3960,4270,310,"04/06/24 00:00:00","البنات",283
40442,-635,,635,"04/07/24 00:00:00","اوفتابانتين21 علبة",284
68042,27600,27600,,"04/07/24 00:00:00","طنطا",285
65792,-2250,,2250,"04/07/24 00:00:00","شهر2-3 دنمير 22.5 عملية",286
59482,-60,,60,"04/07/24 00:00:00","شعاع120",288
47422,-12000,,12000,"04/08/24 00:00:00","العيدية+المكافاة",290
21523,-25899,,25899,"04/08/24 00:00:00","النسبة",291
20598,-925,,925,"04/08/24 00:00:00","تحت حساب العيادة باقي شهر 3",292
27518,670,790,120,"04/08/24 00:00:00","اوفو420",294
27458,-60,,60,"04/08/24 00:00:00","شعاع180",295
27918,460,460,,"04/09/24 00:00:00","طنطا",296
32688,4770,4770,,"04/14/24 00:00:00","طنطا",297
32283,-220,,220,"04/14/24 00:00:00","بالطوهات",299
32183,-100,,100,"04/14/24 00:00:00","جولدز اي",300
32166,-17,,17,"04/15/24 00:00:00","اضافي د عمر + د سما استكمال الشفت 250",301
31541,-625,,625,"04/15/24 00:00:00","صافي من حساب الاضافي",302
33491,1950,3500,1550,"04/14/24 00:00:00","محمد رمضان/د السعدني",303
37801,-320,,320,"04/16/24 00:00:00","تعاقد الشروق",306
34801,-3000,,3000,"04/17/24 00:00:00","د السعدني نقطة",307
44467,9666,9740,74,"04/17/24 00:00:00","2 ك سكر للشروق*37",308
44348,-119,,119,"04/17/24 00:00:00","مياه",309
44088,-200,,200,"04/18/24 00:00:00","دالسعدني تمريض دار القمة",311
45718,1630,1690,60,"04/18/24 00:00:00","اوفو540",312
43768,-1950,,1950,"04/18/24 00:00:00","اوركابريد100*19.5",313
41888,-1880,,1880,"04/18/24 00:00:00","د السعدني  كهرباء الدار",314
40638,-1250,,1250,"04/18/24 00:00:00","صيانة تكييفات",315
41093,-5,,5,"04/20/24 00:00:00","امير لزق",317
63903,22810,22810,,"04/21/24 00:00:00","طنطا",318
50903,-10000,,10000,"04/21/24 00:00:00","مكتب المحاسبة واصل150000/الميزانية",320
50828,-60,,60,"04/21/24 00:00:00","اوفو600",322
50603,-225,,225,"04/21/24 00:00:00","لمبة للعيادة الاولى",323
53663,3060,3160,100,"04/22/24 00:00:00","سكر2*50",324
53343,-320,,320,"04/22/24 00:00:00","الشروق تعاقد",325
65943,-3600,,3600,"04/24/24 00:00:00","لاب د. السعدني للمركز",327
64943,-1000,,1000,"04/24/24 00:00:00","كهربا",328
64883,-60,,60,"04/24/24 00:00:00","مواصلات الصواف 3 مرات",329
64083,-800,,800,"04/24/24 00:00:00","بطارية يو بي اس",330
83223,-60,,60,"04/24/24 00:00:00","اوفو660",332
83023,-200,,200,"04/24/24 00:00:00","صيانة مراوح",333
85333,2310,2490,180,"04/25/24 00:00:00","شعاع480",334
91073,5740,5840,100,"04/27/24 00:00:00","شاي+سكر",335
89678,-595,,595,"04/28/24 00:00:00","مناديل 1*285+1*315",337
88478,-1200,,1200,"04/28/24 00:00:00","سلفة محمود تم التسويه 28-5",338
113348,24870,24870,,"04/28/24 00:00:00","طنطا",339
115985,27,27,,"04/30/24 00:00:00","فارماتيرز قطرة",341
144195,28210,28210,,"04/30/24 00:00:00","طنطا",342
143645,-550,,550,"04/30/24 00:00:00","صيانة كرسي د السعدني",343
145805,2160,2160,,"04/30/24 00:00:00","تقفيل اوفو وشعاع شهر 3.4",344
85975,-59830,,59830,"05/01/24 00:00:00","من حساب المرتبات",345
70825,-1450,,1450,"05/01/24 00:00:00","ورق طباعة باكو80+باكو70",347
71025,200,200,,"05/01/24 00:00:00","رضا باقي 200",348
70025,-1000,,1000,"05/01/24 00:00:00","البواب",349
98455,28430,28470,40,"05/01/24 00:00:00","قراقيش د السعدني",350
75705,1450,1570,120,"05/02/24 00:00:00","شعاع120",352
75435,-90,,90,"05/02/24 00:00:00","صيانة فلتر",354
63435,-12000,,12000,"05/04/24 00:00:00","فيزا cib",355
70815,7380,7380,,"05/04/24 00:00:00","طنطا",356
70595,-220,,220,"05/04/24 00:00:00","بالطوهات",357
70495,-100,,100,"05/04/24 00:00:00","كهرباء الصفوة",358
82795,-2750,,2750,"05/05/24 00:00:00","ابو يوسف / بصل",360
65295,-17500,,17500,"05/07/24 00:00:00","ايجار الشروق",361
64885,-410,,410,"05/07/24 00:00:00","فودافون+د السعدني",362
64675,-210,,210,"05/07/24 00:00:00","اورانج",363
75955,-6200,,6200,"05/07/24 00:00:00","السعدني / موتور مايه",365
74255,-1700,,1700,"05/07/24 00:00:00","بطارية لاب د. السعدني",366
70525,-16500,,16500,"05/08/24 00:00:00","ميناتورز د السعدني",368
65225,-300,,300,"05/08/24 00:00:00","معطر 5*60",370
65109,-116,,116,"05/08/24 00:00:00","شاي وسكر وخل",371
39371,-25738,,25738,"05/09/24 00:00:00","النسبة",372
29371,-10000,,10000,"05/09/24 00:00:00","المكافأة",373
31271,1900,1960,60,"05/09/24 00:00:00","شعاع180",374
31211,-60,,60,"05/09/24 00:00:00","اوفو240",375
36281,5070,8470,3400,"05/11/24 00:00:00","لمبة للعيادة /الفاطمية",376
36166,-115,,115,"05/11/24 00:00:00","علاج د السعدني",377
36086,-40,,40,"05/11/24 00:00:00","مواصلات عصام الفاطمية",379
35996,-90,,90,"05/11/24 00:00:00","لزق دابل فيس",380
66206,2990,2990,,"05/13/24 00:00:00","طنطا",382
63606,-2600,,2600,"05/13/24 00:00:00","لمبة نيترز تانية",383
86566,22960,23080,120,"05/14/24 00:00:00","اوفو360",384
109956,23450,23450,,"05/15/24 00:00:00","طنطا",386
108656,-1300,,1300,"05/15/24 00:00:00","صيانة جهاز التبكيت+التكييف الشروق",387
108596,-60,,60,"05/15/24 00:00:00","شعاع240",388
106596,-2000,,2000,"05/16/24 00:00:00","البنات",389
107707,1111,1230,119,"05/16/24 00:00:00","وصل مياة",390
107399,-308,,308,"05/18/24 00:00:00","اضافي صافي شهر 4",391
113464,-60,,60,"05/18/24 00:00:00","شاي اخضر",393
113244,-220,,220,"05/18/24 00:00:00","بالطوهات",394
134614,-930,,930,"05/19/24 00:00:00","مناديل حمام1*325+مناديل سحب1*285+كوبايات1*320",396
136301,1870,1870,,"05/20/24 00:00:00",,398
136281,-20,,20,"05/20/24 00:00:00","مواصلات الصواف",399
136181,-100,,100,"05/20/24 00:00:00","جولدز اي",400
134301,-1880,,1880,"05/21/24 00:00:00","كهرباء الدار",401
131801,-2500,,2500,"05/21/24 00:00:00","باقي حساب تبات د السعدني",402
108801,-23000,,23000,"05/21/24 00:00:00","جاد الشهرية +20000 من حساب الاسطوانة",403
108823,22,22,,"05/21/24 00:00:00","قطرة موكسي فلوكس",404
128968,20145,21210,1065,"05/21/24 00:00:00","كهرباء +فاتورة تليفون ارضي",405
127534,-900,,900,"05/22/24 00:00:00","صرف 9 ايام هدير",408
131384,3850,3850,,"05/22/24 00:00:00",,409
161384,30000,30000,,"05/23/24 00:00:00","د السعدني",410
119384,-42000,,42000,"05/23/24 00:00:00","عدسات بعد العملية42*1000",411
121114,1730,1730,,"05/23/24 00:00:00",,412
123519,-75,,75,"05/24/24 00:00:00","طرد مصطفى السعدني",414
123419,-100,,100,"05/24/24 00:00:00","جولدز اي 600",415
143949,20840,20900,60,"05/26/24 00:00:00","اوفو600",417
148089,4140,4200,60,"05/27/24 00:00:00","اقلام الشروق",418
147969,-120,,120,"05/27/24 00:00:00","شعاع360 تم دمجها مع اوفو ",419
147949,-20,,20,"05/27/24 00:00:00","مواصلات الصواف-طه",420
142349,-5600,,5600,"05/28/24 00:00:00","جاونات100*21+4 جوانتي*875",421
155959,16760,17080,320,"05/28/24 00:00:00","تعاقد الشروق",423
155979,20,20,,"05/28/24 00:00:00","زيادة الشفت الاول",424
154979,-1000,,1000,"05/28/24 00:00:00","كهربا",425
172949,17970,17970,,"05/29/24 00:00:00","طنطا",426
170824,-2125,,2125,"05/29/24 00:00:00","حبر الطابعة",427
135614,-35000,,35000,"05/29/24 00:00:00","المشارط -السعدني علبة",429
134734,-120,,120,"05/29/24 00:00:00","اوفو840",431
134684,-50,,50,"05/29/24 00:00:00","عماد ايداع المشارط",432
74312,-60372,,60372,"05/30/24 00:00:00","النسبة",433
57212,-17100,,17100,"05/30/24 00:00:00","تحت حساب العيادةشهر5",434
57862,650,810,160,"05/30/24 00:00:00","بالطوهات",435
57712,-150,,150,"05/30/24 00:00:00","مسند كرسي العيادة",436
58152,200,200,,"06/01/24 00:00:00","ميادة صفر",438
64152,6000,6100,100,"06/01/24 00:00:00","بطاريات 4 قلم 4 ريموت",439
62852,-1300,,1300,"06/01/24 00:00:00","النت شهر 3\4\5",440
61852,-1000,,1000,"06/01/24 00:00:00","عم سعيد-البواب",441
61612,-240,,240,"06/01/24 00:00:00","اوفو240",442
81642,20030,20230,200,"06/02/24 00:00:00","نت الشروق",443
80732,-620,,620,"06/02/24 00:00:00","عدد4 علب شاش معقم مغلف*145+40 مواصلات",445
56382,-150,,150,"06/02/24 00:00:00","شاي وسكر",447
55982,-400,,400,"06/02/24 00:00:00","ابو يوسف الدكتورة",448
54882,-1100,,1100,"06/03/24 00:00:00","البنات",449
56057,-500,,500,"06/03/24 00:00:00","السعدني / لاب عمر",451
56037,-20,,20,"06/03/24 00:00:00","مواصلات الصواف طه",452
84582,28545,28545,,"06/04/24 00:00:00","طنطا",453
67082,-17500,,17500,"06/05/24 00:00:00","ايجار الشروق",454
66607,-90,,90,"06/05/24 00:00:00","مجري الدرج ",456
66407,-200,,200,"06/05/24 00:00:00","اورانج",457
65307,-1100,,1100,"06/05/24 00:00:00","السعدني / شريط دوا",458
50307,-15000,,15000,"06/05/24 00:00:00"," جاد الشهرية + 12000 باقي حساب الاسطوانه",459
53887,3580,3580,,"06/05/24 00:00:00","طنطا",460
53887,0,1500,1500,"06/05/24 00:00:00","ايمان ليوم الثلاثاء",461
62927,7940,7940,,"06/08/24 00:00:00",,463
82177,-60,,60,"06/09/24 00:00:00","اوفو300",465
72177,-10000,,10000,"06/10/24 00:00:00","مكافأة د السعدني",466
42919,-112,,112,"06/10/24 00:00:00","كلور",468
41454,-1465,,1465,"06/10/24 00:00:00","مستلزمات (1375 رول تعقيم+اوفر شوز 50)+انتقالات 40",469
31454,-10000,,10000,"06/10/24 00:00:00","مكتب المحاسبه 160000",470
34024,2570,2610,40,"06/11/24 00:00:00","مواصلات محمود مكن الملفات",471
26024,-8000,,8000,"06/11/24 00:00:00","العيدية",472
70616,44652,44726,74,"06/11/24 00:00:00","سكر 2 ك",474
70216,-400,,400,"06/11/24 00:00:00","ابو يوسف/الدكتورة",475
69316,-900,,900,"06/11/24 00:00:00","البنات",476
66816,-2500,,2500,"06/11/24 00:00:00","كارت نضارة وتحويل 2000*1.25",477
75596,8860,8860,,"06/12/24 00:00:00","طنطا",480
75409,-187,,187,"06/12/24 00:00:00","اضافي صافي شهر 5",481
72629,-2780,,2780,"06/12/24 00:00:00","فارما تيرز100*27.8",482
74099,1470,1470,,"06/13/24 00:00:00","طنطا",483
87221,13122,13162,40,"06/22/24 00:00:00","اكياس زباله",484
87101,-120,,120,"06/22/24 00:00:00","فاتورة مياه",485
86861,-240,,240,"06/22/24 00:00:00","بالطوهات",486
84981,-1880,,1880,"06/23/24 00:00:00","د. السعدني كهربا الدار",487
68981,-16000,,16000,"06/23/24 00:00:00","حساب الفيس",488
100616,31700,32700,1000,"06/23/24 00:00:00","كهربا",490
104796,4180,4240,60,"06/24/24 00:00:00","اوفو420",491
104246,-550,,550,"06/24/24 00:00:00","صيانة التكيف ",492
97946,-6300,,6300,"06/24/24 00:00:00","د السعدني ( باقي الأضحيه_فيزا قديم)",493
143496,45570,45570,,"06/25/24 00:00:00","طنطا",495
165006,21510,21510,,"06/26/24 00:00:00","طنطا",496
164981,-25,,25,"06/26/24 00:00:00","باتيه د السعدني",497
171041,4390,4390,,"06/29/24 00:00:00","طنطا",499
111615,-59426,,59426,"06/30/24 00:00:00","مرتبات",500
107586,-4050,,4050,"06/30/24 00:00:00","من حساب العيادة شهر 6",502
144541,36955,37955,1000,"06/30/24 00:00:00","كهربا",503
143927,-614,,614,"07/01/24 00:00:00","اضافي د عمر حتى يصل النسبة والشفت 250",504
