الايراد,المصروف,التاريخ,ملاحظات,ID,الاجمالي,الرصيد
,20,"01/07/24 00:00:00","انتقالات",29,88652,-20
1070,,"01/08/24 00:00:00","طنطا",30,89722,1070
,40,"01/08/24 00:00:00","مواصلات الصواف مرتين",31,89682,-40
,90,"01/08/24 00:00:00","صيانة فلتر",32,89592,-90
,3185,"01/09/24 00:00:00","روشتات 52*61.25",33,86407,-3185
10850,,"01/09/24 00:00:00","طنطا",34,97257,10850
,100,"01/09/24 00:00:00","اصلاح كرسي جلد",35,97157,-100
,120,"01/09/24 00:00:00","اوفو300",36,97037,-120
,28635,"01/09/24 00:00:00","من حساب النسبة",37,68402,-28635
6675,,"01/10/24 00:00:00","طنطا",38,75077,6675
,1350,"01/10/24 00:00:00","د نمير شهر11+12",39,73727,-1350
,15250,"01/10/24 00:00:00","تأمينات",40,58477,-15250
,60,"01/10/24 00:00:00","شاي",41,58417,-60
,100,"01/10/24 00:00:00","كروكس عصام",42,58317,-100
,701,"01/10/24 00:00:00","اضافي صافي",43,57616,-701
,30,"01/10/24 00:00:00","لزق طبي",44,57586,-30
,165,"01/10/24 00:00:00","بالطوهات",45,57421,-165
1295,,"01/11/24 00:00:00","طنطا",46,58716,1295
,260,"01/13/24 00:00:00","اضافي د سما حتي يصل مرتب الشفت 250",47,58456,-260
10320,,"01/13/24 00:00:00","طنطا",48,68776,10320
,120,"01/13/24 00:00:00","شاي ومياه وسكر",49,68656,-120
,25,"01/13/24 00:00:00","شاي اخضر",50,68631,-25
,200,"01/14/24 00:00:00","ميادة",51,68431,-200
27465,20,"01/14/24 00:00:00","قرنفل",52,95876,27445
,1050,"01/14/24 00:00:00"," بكرة تعقيم 1*1050",53,94826,-1050
,60,"01/14/24 00:00:00","اوفو360",54,94766,-60
600,600,"01/14/24 00:00:00","ام محمود/تم السداد22-12",55,94766,0
,3700,"01/15/24 00:00:00","د/السعدني بسنت البنات",56,91066,-3700
2470,,"01/15/24 00:00:00","طنطا",57,93536,2470
,180,"01/15/24 00:00:00","اوفو540",58,93356,-180
26860,,"01/16/24 00:00:00","طنطا",59,120216,26860
,1250,"01/17/24 00:00:00","صيانة الاوتو ريف",60,118966,-1250
,100,"01/17/24 00:00:00","كروكس 100 طه",61,118866,-100
,100,"01/17/24 00:00:00","جولد اي 300",62,118766,-100
8240,,"01/17/24 00:00:00","طنطا",63,127006,8240
900,,"01/18/24 00:00:00","طنطا",64,127906,900
2785,60,"01/20/24 00:00:00","اوفو600",65,130631,2725
,300,"01/20/24 00:00:00","كروكسات للتمريض",66,130331,-300
,500,"01/20/24 00:00:00","كهربا",67,129831,-500
,110,"01/20/24 00:00:00","فاتورة مياه",68,129721,-110
,55,"01/20/24 00:00:00","شاي",69,129666,-55
23815,,"01/21/24 00:00:00","طنطا",70,153481,23815
,100,"01/21/24 00:00:00","اضافي د عمر حتي يصل الشفت200",71,153381,-100
43920,120,"02/05/24 00:00:00","اوفو120",114,191071,43800
,80,"02/05/24 00:00:00","بطاريات للعيادة الشروق",115,190991,-80
,3050,"02/05/24 00:00:00","د السعدني فيزا cib 15000-9230-2720",116,187941,-3050
,1500,"02/05/24 00:00:00","البنات د السعدني",117,186441,-1500
,2750,"02/05/24 00:00:00","نت بطرس والشروق وكفر الشيخ من 11ل2",118,183691,-2750
9290,,"02/05/24 00:00:00","طنطا",119,192981,9290
16865,,"02/06/24 00:00:00","طنطا",120,209846,16865
,1000,"02/06/24 00:00:00"," كهربا",121,208846,-1000
,100,"02/06/24 00:00:00","سكر",122,208746,-100
32680,55,"02/07/24 00:00:00","شاي",123,241371,32625
,60,"02/07/24 00:00:00","شعاع180",124,241311,-60
,1115,"02/08/24 00:00:00","سلفة مرسال تم تسويتها14-3",125,240196,-1115
1405,,"02/08/24 00:00:00","طنطا",126,241601,1405
,29926,"02/10/24 00:00:00","النسبة",127,211675,-29926
6990,,"02/10/24 00:00:00","طنطا",128,218665,6990
,758,"02/10/24 00:00:00","اضافي صافي 85 ساعة",129,217907,-758
,96,"02/10/24 00:00:00","عدد 2 ك سكر*48",130,217811,-96
,182000,"02/10/24 00:00:00","مصطفى السعدني 2800$*65",131,35811,-182000
,1110,"02/11/24 00:00:00","ورق طباعة6*185",132,34701,-1110
34540,70,"02/11/24 00:00:00","مرسال فيمتو",133,69171,34470
,170,"02/11/24 00:00:00","سباك",134,69001,-170
,150,"02/11/24 00:00:00","بالطوهات",135,68851,-150
7935,60,"02/12/24 00:00:00","اوفو180",136,76726,7875
7880,,"02/13/24 00:00:00","طنطا",137,84606,7880
33230,70,"02/14/24 00:00:00","محمود الفيمتو",138,117766,33160
,800,"02/14/24 00:00:00","نمير شهر1 -8 عمليات",139,116966,-800
,1325,"02/11/24 00:00:00","عدد 55 جاون*20+5 اوفر هيد*45",140,115641,-1325
,9400,"02/13/24 00:00:00"," كفرات اشعة 1000*9.4",141,106241,-9400
,850,"02/14/24 00:00:00"," تليفون بدون فاتورة محل ",142,105391,-850
,60,"02/14/24 00:00:00","اوفو240",143,105331,-60
,1389,"02/14/24 00:00:00","ادوات مكتبية",144,103942,-1389
,4000,"02/15/24 00:00:00","د السعدني / سمير",145,99942,-4000
100,100,"02/15/24 00:00:00","صافي/تم السداد",146,99942,0
380,60,"02/15/24 00:00:00","اوفو300",147,100262,320
,65,"02/15/24 00:00:00","شاي",148,100197,-65
,6500,"02/17/24 00:00:00","تاتش الاوتوريف",149,93697,-6500
4960,100,"02/17/24 00:00:00","طابعه استقبال",150,98557,4860
,60,"02/17/24 00:00:00","اوفو 360",151,98497,-60
,165,"02/17/24 00:00:00","بالطوهات",152,98332,-165
,10800,"02/17/24 00:00:00","ميناتورز د السعدني",153,87532,-10800
,500,"02/18/24 00:00:00","ابو يوسف - الدكتورة",154,87032,-500
13390,,"02/18/24 00:00:00",,155,100422,13390
,20,"02/18/24 00:00:00","شاي اخضر",156,100402,-20
,133,"02/18/24 00:00:00","فاتورة مياه",157,100269,-133
,120,"02/18/24 00:00:00","سكر 2ك",158,100149,-120
200,200,"02/18/24 00:00:00","صافي/تم السداد",159,100149,0
,5600,"02/19/24 00:00:00","باقي جاد شهر 1-2",160,94549,-5600
,10000,"02/19/24 00:00:00","فلوانس ",161,84549,-10000
1735,60,"02/19/24 00:00:00","مواصلات الصواف 3 مرات",162,86224,1675
,1000,"02/20/24 00:00:00","ا/بسنت - البنات",163,85224,-1000
29355,60,"02/20/24 00:00:00","شعاع240",164,114519,29295
9980,60,"02/21/24 00:00:00","شعاع300",165,124439,9920
,12,"02/21/24 00:00:00","كوريكتور",166,124427,-12
1300,120,"02/22/24 00:00:00","اوفو480",167,125607,1180
,60,"02/22/24 00:00:00","شعاع360",168,125547,-60
,120,"02/22/24 00:00:00","سكر 2 ك",169,125427,-120
,3930,"02/22/24 00:00:00","جوانت معقم3*1050+اوفر هيد3*160+شوز6*50",170,121497,-3930
,20,"02/22/24 00:00:00","باتيه د السعدني",171,121477,-20
,20,"02/24/24 00:00:00","باتيه د السعدني",172,121457,-20
5715,,"02/24/24 00:00:00","طنطا",173,127172,5715
,110,"02/24/24 00:00:00","شاي الشروق وبطرس",174,127062,-110
,470,"02/25/24 00:00:00","ابو يوسف",175,126592,-470
,10000,"02/25/24 00:00:00","د السعدني نقدا",176,116592,-10000
18755,60,"02/25/24 00:00:00","شعاع420",177,135287,18695
1500,1500,"02/26/24 00:00:00","صافي400/تم سداد/11/10- تم سداد(360 يوم 12\4)-540يوم11-8",178,135287,0
6730,1140,"02/26/24 00:00:00","جوانتي مقم مقاس 7.5",179,140877,5590
,120,"02/26/24 00:00:00","شعاع",180,140757,-120
,12,"02/26/24 00:00:00","طنطا",181,140745,-12
,36,"02/27/24 00:00:00","اقلام سبورة3*12",182,140709,-36
,23,"02/27/24 00:00:00","بريل الشروق",183,140686,-23
1440,60,"02/27/24 00:00:00","شعاع480",184,142066,1380
,60,"02/27/24 00:00:00","اوفو540",185,142006,-60
9970,190,"02/28/24 00:00:00","نت الشروق",186,151786,9780
2510,90,"02/29/24 00:00:00","صيانة فلتر",187,154206,2420
,60,"02/29/24 00:00:00","اوفو600",188,154146,-60
,60,"02/29/24 00:00:00","شعاع540",189,154086,-60
1140,,"02/29/24 00:00:00","تسوية شعاع واوفو شهر 2",190,155226,1140
,1000,"03/02/24 00:00:00","عم سعيد البواب",191,154226,-1000
,20000,"03/02/24 00:00:00","شنطة رمضان+اضافي د السعدني",192,134226,-20000
13000,,"03/02/24 00:00:00","د السعدني كفر الشيخ",193,147226,13000
,19125,"03/02/24 00:00:00","بسنت البنات+فيزا البنك الأهلي+تجديد موقع الضرايب",194,128101,-19125
,15000,"03/02/24 00:00:00","مكتب المحاسبة واصل140000",195,113101,-15000
,17655,"03/02/24 00:00:00","تحت حساب العيادة",196,95446,-17655
2775,,"03/02/24 00:00:00","طنطا",197,98221,2775
,24200,"03/03/24 00:00:00","ايجار بطرس",198,74021,-24200
19470,,"03/03/24 00:00:00","د محمد عبد الرحيم رسالة",199,93491,19470
,20,"03/03/24 00:00:00","عجز الوردية الاولى",200,93471,-20
,110,"03/03/24 00:00:00","علاج د السعدني",201,93361,-110
,110,"03/03/24 00:00:00","كهربا",202,93251,-110
6915,600,"03/04/24 00:00:00","اضافي الفنيين",203,99566,6315
,60,"03/04/24 00:00:00","شعاع60",204,99506,-60
,60,"03/05/24 00:00:00","اوفو 60",205,99446,-60
,17500,"03/05/24 00:00:00","ايجار الشروق",206,81946,-17500
,410,"03/05/24 00:00:00","فودافون+د السعدني",207,81536,-410
,210,"03/05/24 00:00:00","اورانج",208,81326,-210
,1500,"03/05/24 00:00:00","اكياس زبالة 25ك*60",209,79826,-1500
,7300,"03/05/24 00:00:00"," جاونات وسرنجات وجوانتيات",210,72526,-7300
30150,60,"03/05/24 00:00:00","شعاع120",211,102616,30090
,60,"03/05/24 00:00:00","سكر",212,102556,-60
,57,"03/05/24 00:00:00","معالق",213,102499,-57
,200,"03/05/24 00:00:00","كالون",214,102299,-200
,65,"03/05/24 00:00:00","شاي",215,102234,-65
,64261,"03/05/24 00:00:00","باقي المرتبات",216,37973,-64261
14750,60,"03/06/24 00:00:00","شعاع180",217,52663,14690
2000,12,"03/07/24 00:00:00","لزق",218,54651,1988
,60,"03/07/24 00:00:00","اوفو120",219,54591,-60
,200,"03/09/24 00:00:00","ابو يوسف شراء بسطرمة",220,54391,-200
5550,60,"03/09/24 00:00:00","اوفو180",221,59881,5490
,29435,"03/10/24 00:00:00","النسبة",222,30446,-29435
1000,,"03/10/24 00:00:00","فرق حالات كفر الشيخ",223,31446,1000
15140,400,"03/10/24 00:00:00","عدد20 دراع قماش لجهاز الليزر",224,46186,14740
,240,"03/10/24 00:00:00","بالطوهات",225,45946,-240
,120,"03/10/24 00:00:00","سكر",226,45826,-120
,20,"03/10/24 00:00:00","باتيه د السعدني",227,45806,-20
,786,"03/11/24 00:00:00","اضافي صافي شهر 2",228,45020,-786
2170,,"03/11/24 00:00:00",,229,47190,2170
2295,,"03/12/24 00:00:00","طنطا",230,49485,2295
6090,,"03/13/24 00:00:00","طنطا",231,55575,6090
50,,"03/13/24 00:00:00","قطرة هاي فريش",232,55625,50
,1725,"03/13/24 00:00:00","البنات1000ج/ دوا الصيدليه725ج",233,53900,-1725
,650,"03/13/24 00:00:00","مناديل 2*325",234,53250,-650
,1150,"03/14/24 00:00:00","سلفة محمود تم التسويه 28-4",235,52100,-1150
670,60,"03/14/24 00:00:00","شعاع240",236,52710,610
2460,60,"03/16/24 00:00:00","شعاع300",237,55110,2400
,8170,"03/16/24 00:00:00","مقدم الفطار+مواصلات لابوعمر",238,46940,-8170
13465,,"03/17/24 00:00:00","طنطا",239,60405,13465
,3325,"03/17/24 00:00:00","عدد 50 علبة لوبستيرا+موكسيسيارو",240,57080,-3325
,119,"03/17/24 00:00:00","فاتورة مياه",241,56961,-119
,60,"03/17/24 00:00:00","اوفو240",242,56901,-60
,260,"03/17/24 00:00:00","اطباق وشوك وكوبايات للفطار",243,56641,-260
970,,"03/18/24 00:00:00","طنطا",244,57611,970
17305,880,"03/19/24 00:00:00","عصاير مارتن",245,74036,16425
,600,"03/19/24 00:00:00","طرابيزات",246,73436,-600
,250,"03/19/24 00:00:00","اضافي د عمر الشفت بالنسبة 250",247,73186,-250
9020,40,"03/20/24 00:00:00","مواصلات ابن سينا",248,82166,8980
,100,"03/20/24 00:00:00","تصليح الكاتل",249,82066,-100
,40,"03/20/24 00:00:00","مواصلات الصواف مرتين",250,82026,-40
,200,"03/20/24 00:00:00","شاي +علب يوم الفطار",251,81826,-200
,3000,"03/21/24 00:00:00","شهرية جاد",252,78826,-3000
,13000,"03/23/24 00:00:00","د السعدني البنك الاهلي",253,65826,-13000
1180,60,"03/21/24 00:00:00","اوفو300",254,66946,1120
4665,420,"03/23/24 00:00:00","عدد21*20 بينوكس",255,71191,4245
,200,"03/23/24 00:00:00","بالطوهات",256,70991,-200
,60,"03/23/24 00:00:00","سكر",257,70931,-60
4950,60,"03/24/24 00:00:00","شعاع360",258,75821,4890
,1000,"03/25/24 00:00:00","البنات",259,74821,-1000
970,120,"03/25/24 00:00:00","شعاع480",260,75671,850
13440,,"03/26/24 00:00:00","طنطا",261,89111,13440
9380,,"03/27/24 00:00:00","طنطا",262,98491,9380
,2320,"03/28/24 00:00:00","قطرات مونودوكسين100*23.2",263,96171,-2320
840,180,"03/28/24 00:00:00","شعاع660",264,96831,660
4660,500,"03/30/24 00:00:00","كهربا",265,100991,4160
,42850,"03/31/24 00:00:00","ضرايب د السعدني",266,58141,-42850
9715,200,"03/31/24 00:00:00","نت الشروق",267,67656,9515
56000,,"04/01/24 00:00:00","د السعدني نقدا+كفر الشيخ+لستة2-4",268,123656,56000
,64699,"04/01/24 00:00:00","المرتبات",269,58957,-64699
,12030,"04/01/24 00:00:00","تحت حساب العيادة",270,46927,-12030
,1000,"04/01/24 00:00:00","عم سعيد البواب",271,45927,-1000
3600,60,"04/01/24 00:00:00","اوفو60",272,49467,3540
27960,60,"04/02/24 00:00:00","اوفو120",273,77367,27900
,310,"04/02/24 00:00:00","شحن كهرباء",274,77057,-310
6490,60,"04/03/24 00:00:00","اوفو180",275,83487,6430
,24200,"04/03/24 00:00:00","ايجار بطرس",276,59287,-24200
,6200,"04/03/24 00:00:00","من حساب فيزا cib",277,53087,-6200
,17500,"04/04/24 00:00:00","ايجار الشروق",278,35587,-17500
,410,"04/04/24 00:00:00","فودافون+د السعدني",279,35177,-410
,210,"04/04/24 00:00:00","اورانج",280,34967,-210
2271,60,"04/04/24 00:00:00","شعاع60",281,37178,2211
,60,"04/04/24 00:00:00","اوفو240",282,37118,-60
4270,310,"04/06/24 00:00:00","البنات",283,41078,3960
,635,"04/07/24 00:00:00","اوفتابانتين21 علبة",284,40443,-635
27600,,"04/07/24 00:00:00","طنطا",285,68043,27600
,2250,"04/07/24 00:00:00","شهر2-3 دنمير 22.5 عملية",286,65793,-2250
,6250,"04/07/24 00:00:00","د الصواف",287,59543,-6250
,60,"04/07/24 00:00:00","شعاع120",288,59483,-60
,60,"04/07/24 00:00:00","اوفو300",289,59423,-60
,12000,"04/08/24 00:00:00","العيدية+المكافاة",290,47423,-12000
,25899,"04/08/24 00:00:00","النسبة",291,21524,-25899
,925,"04/08/24 00:00:00","تحت حساب العيادة باقي شهر 3",292,20599,-925
6250,,"04/08/24 00:00:00","الصواف",293,26849,6250
790,120,"04/08/24 00:00:00","اوفو420",294,27519,670
,60,"04/08/24 00:00:00","شعاع180",295,27459,-60
460,,"04/09/24 00:00:00","طنطا",296,27919,460
4770,,"04/14/24 00:00:00","طنطا",297,32689,4770
,185,"04/14/24 00:00:00","شاي ومطرات",298,32504,-185
,220,"04/14/24 00:00:00","بالطوهات",299,32284,-220
,100,"04/14/24 00:00:00","جولدز اي",300,32184,-100
,17,"04/15/24 00:00:00","اضافي د عمر + د سما استكمال الشفت 250",301,32167,-17
,625,"04/15/24 00:00:00","صافي من حساب الاضافي",302,31542,-625
3500,1550,"04/14/24 00:00:00","محمد رمضان/د السعدني",303,33492,1950
,310,"04/16/24 00:00:00","البنات",304,33182,-310
5000,60,"04/16/24 00:00:00","اوفو480",305,38122,4940
,320,"04/16/24 00:00:00","تعاقد الشروق",306,37802,-320
,3000,"04/17/24 00:00:00","د السعدني نقطة",307,34802,-3000
9740,74,"04/17/24 00:00:00","2 ك سكر للشروق*37",308,44468,9666
,119,"04/17/24 00:00:00","مياه",309,44349,-119
,60,"04/17/24 00:00:00","شعاع240",310,44289,-60
,200,"04/18/24 00:00:00","دالسعدني تمريض دار القمة",311,44089,-200
1690,60,"04/18/24 00:00:00","اوفو540",312,45719,1630
,1950,"04/18/24 00:00:00","اوركابريد100*19.5",313,43769,-1950
,1880,"04/18/24 00:00:00","د السعدني  كهرباء الدار",314,41889,-1880
,1250,"04/18/24 00:00:00","صيانة تكييفات",315,40639,-1250
520,60,"04/20/24 00:00:00","شعاع300",316,41099,460
,5,"04/20/24 00:00:00","امير لزق",317,41094,-5
22810,,"04/21/24 00:00:00","طنطا",318,63904,22810
,3000,"04/21/24 00:00:00","جاد ",319,60904,-3000
,10000,"04/21/24 00:00:00","مكتب المحاسبة واصل150000/الميزانية",320,50904,-10000
,15,"04/21/24 00:00:00","عمولة انستاباي",321,50889,-15
,60,"04/21/24 00:00:00","اوفو600",322,50829,-60
,225,"04/21/24 00:00:00","لمبة للعيادة الاولى",323,50604,-225
3160,100,"04/22/24 00:00:00","سكر2*50",324,53664,3060
,320,"04/22/24 00:00:00","الشروق تعاقد",325,53344,-320
16200,,"04/23/24 00:00:00","طنطا",326,69544,16200
,3600,"04/24/24 00:00:00","لاب د. السعدني للمركز",327,65944,-3600
,1000,"04/24/24 00:00:00","كهربا",328,64944,-1000
,60,"04/24/24 00:00:00","مواصلات الصواف 3 مرات",329,64884,-60
,800,"04/24/24 00:00:00","بطارية يو بي اس",330,64084,-800
19230,30,"04/24/24 00:00:00","مواصلات مصطفى البطارية",331,83284,19200
,60,"04/24/24 00:00:00","اوفو660",332,83224,-60
,200,"04/24/24 00:00:00","صيانة مراوح",333,83024,-200
2490,180,"04/25/24 00:00:00","شعاع480",334,85334,2310
5840,100,"04/27/24 00:00:00","شاي+سكر",335,91074,5740
,800,"04/28/24 00:00:00","ابو يوسف",336,90274,-800
,595,"04/28/24 00:00:00","مناديل 1*285+1*315",337,89679,-595
,1200,"04/28/24 00:00:00","سلفة محمود تم التسويه 28-5",338,88479,-1200
24870,,"04/28/24 00:00:00","طنطا",339,113349,24870
2670,60,"04/29/24 00:00:00","اوفو720",340,115959,2610
27,,"04/30/24 00:00:00","فارماتيرز قطرة",341,115986,27
28210,,"04/30/24 00:00:00","طنطا",342,144196,28210
,550,"04/30/24 00:00:00","صيانة كرسي د السعدني",343,143646,-550
2160,,"04/30/24 00:00:00","تقفيل اوفو وشعاع شهر 3.4",344,145806,2160
,59830,"05/01/24 00:00:00","من حساب المرتبات",345,85976,-59830
,13700,"05/01/24 00:00:00","تحت حساب العيادة",346,72276,-13700
,1450,"05/01/24 00:00:00","ورق طباعة باكو80+باكو70",347,70826,-1450
200,,"05/01/24 00:00:00","رضا باقي 200",348,71026,200
,1000,"05/01/24 00:00:00","البواب",349,70026,-1000
28470,40,"05/01/24 00:00:00","قراقيش د السعدني",350,98456,28430
,24200,"05/02/24 00:00:00","ايجار بطرس",351,74256,-24200
1570,120,"05/02/24 00:00:00","شعاع120",352,75706,1450
,180,"05/02/24 00:00:00","اوفو180",353,75526,-180
,90,"05/02/24 00:00:00","صيانة فلتر",354,75436,-90
,12000,"05/04/24 00:00:00","فيزا cib",355,63436,-12000
7380,,"05/04/24 00:00:00","طنطا",356,70816,7380
,220,"05/04/24 00:00:00","بالطوهات",357,70596,-220
,100,"05/04/24 00:00:00","كهرباء الصفوة",358,70496,-100
15050,,"04/05/24 00:00:00","طنطا",359,85546,15050
,2750,"05/05/24 00:00:00","ابو يوسف / بصل",360,82796,-2750
,17500,"05/07/24 00:00:00","ايجار الشروق",361,65296,-17500
,410,"05/07/24 00:00:00","فودافون+د السعدني",362,64886,-410
,210,"05/07/24 00:00:00","اورانج",363,64676,-210
17480,,"05/07/24 00:00:00","طنطا",364,82156,17480
,6200,"05/07/24 00:00:00","السعدني / موتور مايه",365,75956,-6200
,1700,"05/07/24 00:00:00","بطارية لاب د. السعدني",366,74256,-1700
12770,,"05/08/24 00:00:00","طنطا",367,87026,12770
,16500,"05/08/24 00:00:00","ميناتورز د السعدني",368,70526,-16500
,5000,"05/08/24 00:00:00","عيادة البحر د السعدني",369,65526,-5000
,300,"05/08/24 00:00:00","معطر 5*60",370,65226,-300
,116,"05/08/24 00:00:00","شاي وسكر وخل",371,65110,-116
,25738,"05/09/24 00:00:00","النسبة",372,39372,-25738
,10000,"05/09/24 00:00:00","المكافأة",373,29372,-10000
1960,60,"05/09/24 00:00:00","شعاع180",374,31272,1900
,60,"05/09/24 00:00:00","اوفو240",375,31212,-60
8470,3400,"05/11/24 00:00:00","لمبة للعيادة /الفاطمية",376,36282,5070
,115,"05/11/24 00:00:00","علاج د السعدني",377,36167,-115
,40,"05/11/24 00:00:00","ريموت وبطارية",378,36127,-40
,40,"05/11/24 00:00:00","مواصلات عصام الفاطمية",379,36087,-40
,90,"05/11/24 00:00:00","لزق دابل فيس",380,35997,-90
27220,,"05/12/24 00:00:00","طنطا",381,63217,27220
2990,,"05/13/24 00:00:00","طنطا",382,66207,2990
,2600,"05/13/24 00:00:00","لمبة نيترز تانية",383,63607,-2600
23080,120,"05/14/24 00:00:00","اوفو360",384,86567,22960
,60,"05/15/24 00:00:00","مواصلات عصام الصواف",385,86507,-60
23450,,"05/15/24 00:00:00","طنطا",386,109957,23450
,1300,"05/15/24 00:00:00","صيانة جهاز التبكيت+التكييف الشروق",387,108657,-1300
,60,"05/15/24 00:00:00","شعاع240",388,108597,-60
,2000,"05/16/24 00:00:00","البنات",389,106597,-2000
1230,119,"05/16/24 00:00:00","وصل مياة",390,107708,1111
,308,"05/18/24 00:00:00","اضافي صافي شهر 4",391,107400,-308
6305,180,"05/18/24 00:00:00","اوفو540",392,113525,6125
,60,"05/18/24 00:00:00","شاي اخضر",393,113465,-60
,220,"05/18/24 00:00:00","بالطوهات",394,113245,-220
22300,,"05/19/24 00:00:00",,395,135545,22300
,930,"05/19/24 00:00:00","مناديل حمام1*325+مناديل سحب1*285+كوبايات1*320",396,134615,-930
,183,"05/20/24 00:00:00","شاي وسكر ومنفات الشروق",397,134432,-183
1870,,"05/20/24 00:00:00",,398,136302,1870
,20,"05/20/24 00:00:00","مواصلات الصواف",399,136282,-20
,100,"05/20/24 00:00:00","جولدز اي",400,136182,-100
,1880,"05/21/24 00:00:00","كهرباء الدار",401,134302,-1880
,2500,"05/21/24 00:00:00","باقي حساب تبات د السعدني",402,131802,-2500
,23000,"05/21/24 00:00:00","جاد الشهرية +20000 من حساب الاسطوانة",403,108802,-23000
21.5,,"05/21/24 00:00:00","قطرة موكسي فلوكس",404,108823,22
21210,1065,"05/21/24 00:00:00","كهرباء +فاتورة تليفون ارضي",405,128968,20145
,214,"05/21/24 00:00:00","شاي وسكر",406,128754,-214
,320,"05/21/24 00:00:00","تعاقد الشروق",407,128434,-320
,900,"05/22/24 00:00:00","صرف 9 ايام هدير",408,127534,-900
3850,,"05/22/24 00:00:00",,409,131384,3850
30000,,"05/23/24 00:00:00","د السعدني",410,161384,30000
,42000,"05/23/24 00:00:00","عدسات بعد العملية42*1000",411,119384,-42000
1730,,"05/23/24 00:00:00",,412,121114,1730
2560,80,"05/24/24 00:00:00","بالطوهات",413,123594,2480
